iShares Core S&P 500 ETF
Fund Holdings as of,"Apr 06, 2023"
Inception Date,"May 15, 2000"
Shares Outstanding,"743,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","591,759,911.16","0.19","591,759,911.16","1,198,404.00","493.79","United States","NASDAQ","USD","1.00","USD","-"
"AON","AON PLC CLASS A","Financials","Equity","587,493,593.55","0.19","587,493,593.55","1,824,231.00","322.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","584,549,979.78","0.19","584,549,979.78","821,886.00","711.23","United States","NASDAQ","USD","1.00","USD","-"
"HUM","HUMANA INC","Health Care","Equity","577,134,981.83","0.19","577,134,981.83","1,109,939.00","519.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","567,515,617.92","0.19","567,515,617.92","9,691,182.00","58.56","United States","NASDAQ","USD","1.00","USD","-"
"CL","COLGATE-PALMOLIVE","Consumer Staples","Equity","561,384,174.56","0.18","561,384,174.56","7,417,867.00","75.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ITW","ILLINOIS TOOL INC","Industrials","Equity","561,413,476.80","0.18","561,413,476.80","2,465,584.00","227.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSX","CSX CORP","Industrials","Equity","560,543,977.02","0.18","560,543,977.02","18,672,351.00","30.02","United States","NASDAQ","USD","1.00","USD","-"
"APD","AIR PRODUCTS AND CHEMICALS INC","Materials","Equity","556,216,236.00","0.18","556,216,236.00","1,972,398.00","282.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","551,894,531.25","0.18","551,894,531.25","3,532,125.00","156.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","539,866,387.62","0.18","539,866,387.62","3,298,707.00","163.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ATVI","ACTIVISION BLIZZARD INC","Communication","Equity","539,038,145.88","0.18","539,038,145.88","6,325,254.00","85.22","United States","NASDAQ","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","537,285,560.25","0.18","537,285,560.25","4,963,377.00","108.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MPC","MARATHON PETROLEUM CORP","Energy","Equity","518,859,506.92","0.17","518,859,506.92","4,032,169.00","128.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CCI","CROWN CASTLE INC","Real Estate","Equity","516,929,450.18","0.17","516,929,450.18","3,845,629.00","134.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","511,458,383.25","0.17","511,458,383.25","12,694,425.00","40.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
